pt_symbol,lot_index,purchase_date,lot_type,pt_quantity,underlying_paid,implied_rate,apy,maturity_date,total_days,days_elapsed,yield_to_date,value_underlying,value_usd
PT-USX-01JUN26,1,2026-02-06,amm_swap,521212.680252,499902.056791,0.04262959748115136456332012091,0.1353026354836543310053203837,2026-06-01,115,49,9080.178692078260869565217391,508982.2354830782608695652174,511875.2955993864325351304348
PT-USX-01JUN26,2,2026-02-06,amm_swap,260301.226647,249932.034773,0.04148804647398556391378449349,0.1316794518522150506828812184,2026-06-01,115,49,4418.177407182608695652173913,254350.2121801826086956521739,255795.9413297168884453043478
PT-USX-01JUN26,3,2026-02-10,amm_swap,254890.918614,250000.02689,0.01956356479174297100012603923,0.06433064098185751725266670558,2026-06-01,111,45,1982.793942162162162162162162,251982.8208321621621621621622,253415.0937056003802135135136
PT-USX-01JUN26,4,2026-02-11,amm_swap,205680.782298,199900.039666,0.02891816650791399348215875206,0.09595573432171461473625404091,2026-06-01,110,44,2312.2970528,202212.3367188,203361.713662833026388
PT-USX-01JUN26,5,2026-02-11,amm_swap,53077.597567,51600.005837,0.02863549540415917298300207942,0.09501778020470998307996144536,2026-06-01,110,44,591.036692,52191.042529,52487.69693664526129
PT-USX-01JUN26,6,2026-02-18,amm_swap,441712.060233,435250.179408,0.01484635993439231910521037099,0.05261088714614753857671636321,2026-06-01,103,37,2321.258160436893203883495146,437571.4375684368932038834951,440058.5979952902641892233009
PT-USX-01JUN26,7,2026-02-18,lp_net,65293.206839,62912.956795,0.03783401965601416619922830953,0.1340720114023802976962944950,2026-06-01,103,37,855.0412779417475728155339806,63767.99807294174757281553398,64130.45601166832919543689320
PT-eUSX-01JUN26,1,2026-03-04,lp_net,77839.861427,76291.100231,0.02030067978192139018019348087,0.08325559685844165635697326425,2026-06-01,89,23,400.2416573932584269662921348,76691.34188839325842696629213,79230.17554540149387022840314
